2022-03-05 22:01:49,263 [main] INFO  c.p.p.PaperOnlineSystemApplicationTests - Started PaperOnlineSystemApplicationTests in 2.378 seconds (JVM running for 3.266)
2022-03-05 22:21:54,687 [restartedMain] INFO  c.p.p.PaperOnlineSystemApplication - Starting PaperOnlineSystemApplication using Java 1.8.0_191 on LAPTOP-G7S1G36P with PID 27268 (E:\IDEA_Project\PaperOnlineSystem\target\classes started by panyd_academy in E:\IDEA_Project\PaperOnlineSystem)
2022-03-05 22:21:54,689 [restartedMain] INFO  c.p.p.PaperOnlineSystemApplication - The following profiles are active: dev
2022-03-05 22:21:54,724 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-03-05 22:21:54,724 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-03-05 22:21:55,510 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-03-05 22:21:55,516 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-03-05 22:21:55,517 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-03-05 22:21:55,517 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.52]
2022-03-05 22:21:55,696 [restartedMain] INFO  o.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2022-03-05 22:21:55,701 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-03-05 22:21:55,701 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 977 ms
2022-03-05 22:21:56,214 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2022-03-05 22:21:56,227 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-03-05 22:21:56,243 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-03-05 22:21:56,252 [restartedMain] INFO  c.p.p.PaperOnlineSystemApplication - Started PaperOnlineSystemApplication in 1.866 seconds (JVM running for 2.629)
2022-03-05 22:22:34,607 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests], using SpringBootContextLoader
2022-03-05 22:22:34,613 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-03-05 22:22:34,613 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests]: PaperOnlineSystemApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-03-05 22:22:34,721 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.pyd.paperonlinesystem.PaperOnlineSystemApplication for test class com.pyd.paperonlinesystem.PaperOnlineSystemApplicationTests
2022-03-05 22:22:34,805 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
